"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"47"	"46"	"39.93"	"32.85"	"67.3047375296"	"304.332011865"	"7565.08749012"	"77784.2295734"	"149410.47793"	"0"
"48"	"47"	"23.03"	"72.58"	"74.1334768683"	"266.616530016"	"5288.84104389"	"54379.8636133"	"104454.610617"	"0"
"49"	"48"	"34.11"	"-118.41"	"61.3754541603"	"48.3529962441"	"9541.51527992"	"98105.8601081"	"188444.926778"	"0"
"50"	"49"	"39.13"	"117.2"	"87.7836668504"	"273.448442617"	"738.777716527"	"7596.11248133"	"14590.8599014"	"0"
"51"	"50"	"22.33"	"91.81"	"78.8728253365"	"249.979861951"	"3709.05822117"	"38136.5366301"	"73253.8998681"	"0"
"52"	"51"	"-33.87"	"151.21"	"64.4376468324"	"158.48695795"	"8520.78438919"	"87610.7050897"	"168285.491687"	"0"
"53"	"52"	"35.47"	"139.62"	"86.1370196667"	"103.655967698"	"1287.66011111"	"13239.7212624"	"25431.2871944"	"0"
"54"	"53"	"-37.81"	"144.96"	"63.6957444991"	"164.645669516"	"8768.08516698"	"90153.4516869"	"173169.682048"	"0"
"55"	"54"	"41.8"	"123.45"	"88.9090282462"	"328.18476583"	"363.657251255"	"3739.12385741"	"7182.23071229"	"0"
"56"	"55"	"-33.93"	"18.46"	"49.0005171206"	"250.657159964"	"13666.4942931"	"140518.894322"	"269913.262289"	"0"
"57"	"56"	"52.52"	"13.38"	"66.2013872393"	"323.569020461"	"7932.87092022"	"81565.7788017"	"156674.200674"	"0"
"58"	"57"	"35.11"	"129.03"	"88.4261234162"	"145.463290381"	"524.625527939"	"5394.19967827"	"10361.3541768"	"0"
"59"	"58"	"45.52"	"-73.57"	"58.7520974721"	"13.4399873648"	"10415.9675093"	"107096.977931"	"205715.358309"	"0"
"60"	"59"	"45.75"	"126.65"	"87.7521161752"	"5.28713545723"	"749.294608283"	"7704.24716237"	"14798.5685136"	"0"
"61"	"60"	"-29.87"	"30.99"	"52.7386058786"	"248.44451532"	"12420.4647071"	"127707.218119"	"245304.177966"	"0"
"62"	"61"	"30.01"	"31.21"	"65.0375968816"	"296.572516198"	"8320.80103948"	"85554.4762879"	"164335.82053"	"0"
"63"	"62"	"32.05"	"118.78"	"86.9965444056"	"221.175795021"	"1001.1518648"	"10293.8434739"	"19772.7493299"	"0"
"64"	"63"	"33.6"	"-7.62"	"58.1445163199"	"322.544009133"	"10618.49456"	"109179.361066"	"209715.26756"	"0"
"65"	"64"	"18.53"	"73.84"	"73.6111059459"	"260.752708484"	"5462.96468471"	"56170.2028882"	"107893.552523"	"0"
"66"	"65"	"9.03"	"38.74"	"62.6371646469"	"275.189845706"	"9120.94511771"	"93781.5577003"	"180138.666075"	"0"
"67"	"66"	"39.02"	"125.75"	"89.9916208244"	"202.073993031"	"2.79305853872"	"28.7182278952"	"55.1629061398"	"0"
"68"	"67"	"21.2"	"72.82"	"73.860289931"	"264.393066357"	"5379.90335634"	"55316.1663099"	"106253.091288"	"0"
"69"	"68"	"40.42"	"-3.71"	"60.5993957226"	"323.985232617"	"9800.20142579"	"100765.67106"	"193553.978159"	"0"
"70"	"69"	"23.12"	"113.25"	"83.6120006326"	"217.401320456"	"2129.33312248"	"21893.8031654"	"42054.329169"	"0"
"71"	"70"	"21.5"	"39.17"	"65.2785421872"	"285.054586023"	"8240.48593759"	"84728.6764103"	"162749.597267"	"0"
"72"	"71"	"26.47"	"80.33"	"76.7346408488"	"265.560357244"	"4421.78638373"	"45464.8075975"	"87330.2810786"	"0"
"73"	"72"	"-1.29"	"36.82"	"59.9803167615"	"268.331803518"	"10006.5610795"	"102887.461019"	"197629.58132"	"0"
"74"	"73"	"26.92"	"75.8"	"75.6368490255"	"269.188316583"	"4787.7169915"	"49227.3061066"	"94557.4105821"	"0"
"75"	"74"	"-6.82"	"39.28"	"59.4520220784"	"262.492457482"	"10182.6593072"	"104698.102997"	"201107.521317"	"0"
"76"	"75"	"-12.97"	"-38.5"	"39.8147043023"	"327.600816043"	"16728.4318992"	"172001.736788"	"330386.53001"	"1"
"77"	"76"	"41.84"	"-87.68"	"58.7791517284"	"24.2915228151"	"10406.9494239"	"107004.253976"	"205537.251121"	"0"
"78"	"77"	"37.87"	"112.55"	"86.5296791283"	"267.678599985"	"1156.7736239"	"11893.946401"	"22846.2790721"	"0"
"79"	"78"	"36.34"	"43.14"	"68.9758879299"	"296.315300885"	"7008.03735669"	"72056.6401015"	"138408.737795"	"0"
"80"	"79"	"31.41"	"73.11"	"75.6292989304"	"276.61081519"	"4790.23368988"	"49253.1827994"	"94607.1153752"	"0"
"81"	"80"	"43.87"	"125.35"	"88.3865918147"	"356.473777054"	"537.802728424"	"5529.68765366"	"10621.6038864"	"0"
