"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"195"	"194"	"40.2"	"29.08"	"66.5582400431"	"306.301916966"	"7813.91998565"	"80342.7252924"	"154324.919717"	"0"
"196"	"195"	"-6.13"	"23.59"	"55.5399252311"	"272.893179094"	"11486.6915896"	"118106.162925"	"226862.158896"	"0"
"197"	"196"	"18.62"	"73.8"	"73.6185292242"	"260.878480502"	"5460.49025859"	"56144.7608389"	"107844.682607"	"0"
"198"	"197"	"35.8"	"50.97"	"70.737704331"	"292.256623886"	"6420.76522298"	"66018.3080227"	"126810.113154"	"0"
"199"	"198"	"35.01"	"135.75"	"87.0215506305"	"113.753615565"	"992.816456489"	"10208.1388056"	"19608.1250157"	"0"
"200"	"199"	"-6.18"	"106.63"	"73.7975673072"	"205.759195412"	"5400.81089761"	"55531.1376492"	"106666.015228"	"0"
"201"	"200"	"5.1"	"7.35"	"53.9110556464"	"292.761502768"	"12029.6481179"	"123688.841948"	"237585.550328"	"0"
"202"	"201"	"49.98"	"36.22"	"69.6858063191"	"312.612184127"	"6771.39789362"	"69623.5131422"	"133735.108399"	"0"
"203"	"202"	"19.05"	"-98.22"	"53.6981311151"	"43.90725594"	"12100.6229616"	"124418.605291"	"238987.303492"	"0"
"204"	"203"	"20.01"	"73.78"	"73.8825720582"	"262.39940531"	"5372.4759806"	"55239.7980326"	"106106.400617"	"0"
"205"	"204"	"3.16"	"101.71"	"75.9818984329"	"217.438413411"	"4672.70052236"	"48044.706771"	"92285.8353167"	"0"
"206"	"205"	"40.01"	"-75.13"	"57.0843829988"	"16.0393891545"	"10971.8723337"	"112812.791336"	"216694.478591"	"0"
"207"	"206"	"33.59"	"130.41"	"87.7939712368"	"144.117543484"	"735.342921057"	"7560.7959143"	"14523.0226909"	"0"
"208"	"207"	"36.33"	"127.43"	"88.9935350738"	"153.545617273"	"335.488308738"	"3449.49079044"	"6625.89409757"	"0"
"209"	"208"	"36.05"	"103.68"	"84.090024824"	"267.200867525"	"1969.99172535"	"20255.45492"	"38907.3365756"	"0"
"210"	"209"	"21.43"	"39.82"	"65.427531857"	"284.623718007"	"8190.82271434"	"84218.0391488"	"161768.748608"	"0"
"211"	"210"	"23.37"	"116.67"	"84.1713596832"	"208.889639984"	"1942.88010561"	"19976.6932459"	"38371.8820858"	"0"
"212"	"211"	"37.7"	"126.93"	"89.4577231976"	"145.357116569"	"180.758934125"	"1858.56336067"	"3569.98894896"	"0"
"213"	"212"	"31.85"	"117.28"	"86.6757776885"	"226.38803311"	"1108.07410383"	"11393.2179356"	"21884.4635506"	"0"
"214"	"213"	"55.04"	"82.93"	"79.1306596881"	"313.665928796"	"3623.11343731"	"37252.8523624"	"71556.4903868"	"0"
"215"	"214"	"-30.04"	"-51.22"	"33.0699134346"	"343.688042387"	"18976.6955218"	"195118.383355"	"374789.736556"	"1"
"216"	"215"	"37"	"35.32"	"67.3099362899"	"300.546623331"	"7563.35457003"	"77766.411689"	"149376.252758"	"0"
"217"	"216"	"-5.14"	"119.41"	"75.131347099"	"189.033635678"	"4956.21763367"	"50959.8297094"	"97885.2982651"	"0"
"218"	"217"	"38.08"	"46.3"	"69.9917606288"	"296.648070545"	"6669.41312374"	"68574.9057383"	"131720.909194"	"0"
"219"	"218"	"23.62"	"90.5"	"78.8088539456"	"253.164828394"	"3730.38201814"	"38355.7879105"	"73675.0448582"	"0"
"220"	"219"	"28.38"	"77.3"	"76.2596214143"	"270.144907363"	"4580.12619522"	"47092.8575393"	"90457.4923557"	"0"
"221"	"220"	"41.87"	"123.88"	"88.9430082448"	"333.737961608"	"352.330585077"	"3622.66307576"	"6958.52905527"	"0"
"222"	"221"	"11.57"	"104.92"	"78.9484779538"	"219.625977784"	"3683.84068206"	"37877.249893"	"72755.8534708"	"0"
"223"	"222"	"34.68"	"112.47"	"86.1701817354"	"251.789091116"	"1276.6060882"	"13126.0637989"	"25212.970242"	"0"
"224"	"223"	"22.84"	"89.56"	"78.422765771"	"252.946763914"	"3859.07807633"	"39679.0407808"	"76216.7920075"	"0"
"225"	"224"	"-6.39"	"106.83"	"73.7540027893"	"205.415432112"	"5415.33240357"	"55680.4477735"	"106952.814971"	"0"
"226"	"225"	"-15.42"	"28.29"	"54.8540934372"	"262.399368915"	"11715.3021876"	"120456.737093"	"231377.218205"	"0"
"227"	"226"	"28.66"	"77.41"	"76.3317986552"	"270.452762354"	"4556.06711492"	"46845.4820756"	"89982.3255197"	"0"
"228"	"227"	"36.58"	"114.48"	"86.9175862568"	"258.066094325"	"1027.47124773"	"10564.4593691"	"20292.5571426"	"0"
"229"	"228"	"29.46"	"-98.51"	"56.6266237537"	"38.1169119489"	"11124.4587488"	"114381.684855"	"219708.060288"	"0"
"230"	"229"	"35.53"	"139.7"	"86.1243284604"	"103.258258656"	"1291.89051319"	"13283.2182566"	"25514.8376355"	"0"
"231"	"230"	"35.16"	"126.91"	"88.6691228759"	"166.385382072"	"443.625708042"	"4561.35953009"	"8761.60773383"	"0"
"232"	"231"	"34.01"	"71.54"	"75.5825408344"	"280.87049035"	"4805.81972188"	"49413.4383803"	"94914.9395071"	"0"
"233"	"232"	"22.31"	"70.79"	"73.5402651164"	"267.00409754"	"5486.57829454"	"56412.9980244"	"108359.921317"	"0"
"234"	"233"	"37.26"	"127.01"	"89.3210292032"	"150.789960579"	"226.323598923"	"2327.05924412"	"4469.89107873"	"0"
"235"	"234"	"21.98"	"96.09"	"79.822334738"	"244.716426482"	"3392.55508733"	"34882.2514079"	"67002.9629748"	"0"
"236"	"235"	"43.32"	"76.92"	"77.8301668554"	"292.887574255"	"4056.61104821"	"41710.0747977"	"80118.0682022"	"0"
"237"	"236"	"48.14"	"11.58"	"64.9418405361"	"320.958478653"	"8352.71982131"	"85882.6652027"	"164966.216471"	"0"
"238"	"237"	"28.99"	"77.7"	"76.4578745224"	"270.720601763"	"4514.04182587"	"46413.3780536"	"89152.3260609"	"0"
"239"	"238"	"40.6"	"110.05"	"85.9466109107"	"282.354876613"	"1351.12969644"	"13892.3155388"	"26684.8115048"	"0"
"240"	"239"	"45.48"	"9.19"	"63.9338325779"	"320.15029578"	"8688.72247403"	"89337.444478"	"171602.268862"	"0"
"241"	"240"	"23.54"	"116.34"	"84.1808599659"	"210.043030752"	"1939.7133447"	"19944.1326102"	"38309.3385578"	"0"
"242"	"241"	"19.25"	"73.16"	"73.5772276749"	"262.021549897"	"5474.25744171"	"56286.3150157"	"108116.584474"	"0"
"243"	"242"	"-34.87"	"-56.17"	"31.4389911671"	"20.8897903443"	"19520.3362776"	"200708.097607"	"385526.641483"	"1"
"244"	"243"	"22.27"	"114.14"	"83.49949283"	"213.976887027"	"2166.83572332"	"22279.4049072"	"42795.0055356"	"0"
"245"	"244"	"56.85"	"60.6"	"74.9529728375"	"315.533101985"	"5015.67572084"	"51571.1777617"	"99059.5954866"	"0"
"246"	"245"	"12.37"	"-1.53"	"53.6567456219"	"304.754201662"	"12114.418126"	"124560.447172"	"239259.757989"	"0"
"247"	"246"	"-23.46"	"-46.49"	"35.597365495"	"334.846273261"	"18134.2115017"	"186455.96266"	"358150.677158"	"1"
"248"	"247"	"-6.97"	"110.42"	"73.9336661194"	"200.640310335"	"5355.44462685"	"55064.6816533"	"105770.03138"	"0"
"249"	"248"	"34.27"	"117.18"	"87.2074241777"	"237.89144197"	"930.85860745"	"9571.0882018"	"18384.4574971"	"0"
"250"	"249"	"-31.96"	"115.84"	"66.1155130678"	"188.862738078"	"7961.49564406"	"81860.0982122"	"157239.53897"	"0"
"251"	"250"	"32.79"	"-96.77"	"57.292739825"	"35.0256126221"	"10902.4200583"	"112098.68304"	"215322.796152"	"0"
"252"	"251"	"59.33"	"18.07"	"68.2912473132"	"327.59713422"	"7236.25089561"	"74403.1317087"	"142915.955188"	"0"
"253"	"252"	"-2.99"	"104.75"	"74.5629256683"	"209.70173195"	"5145.6914439"	"52907.9994262"	"101627.406017"	"0"
"254"	"253"	"32.81"	"-117.14"	"60.8181196634"	"48.4984517201"	"9727.29344553"	"100016.031207"	"192114.045549"	"0"
"255"	"254"	"-16.72"	"-49.26"	"37.5413712717"	"347.586838566"	"17486.2095761"	"179793.206861"	"345352.639128"	"1"
"256"	"255"	"37.07"	"37.39"	"67.786551578"	"299.643674249"	"7404.48280733"	"76132.892225"	"146238.535445"	"0"
"257"	"256"	"56.33"	"44"	"71.9427074572"	"317.38313615"	"6019.09751428"	"61888.3606419"	"118877.175907"	"0"
"258"	"257"	"29.63"	"52.57"	"70.1318079387"	"285.172975942"	"6622.73068711"	"68094.9169249"	"130798.93107"	"0"
"259"	"258"	"-32.94"	"-60.67"	"32.6287999986"	"42.391332934"	"19123.7333338"	"196630.226138"	"377693.733343"	"1"
"260"	"259"	"26.08"	"119.3"	"85.3129451514"	"204.606116269"	"1562.3516162"	"16064.0993178"	"30856.44442"	"0"
"261"	"260"	"19.41"	"-99.03"	"53.9426949389"	"44.3508274603"	"12019.101687"	"123580.403546"	"237377.258319"	"0"
"262"	"261"	"35.87"	"139.64"	"86.1801177192"	"101.757843536"	"1273.29409359"	"13092.0098703"	"25147.5583484"	"0"
"263"	"262"	"22.53"	"114.13"	"83.5745067848"	"214.371286816"	"2141.83107172"	"22022.3070794"	"42301.1636665"	"0"
"264"	"263"	"40.17"	"44.52"	"69.9119218776"	"299.524385987"	"6696.02604078"	"68848.5397513"	"132246.514305"	"0"
"265"	"264"	"32.87"	"13.18"	"61.7262272564"	"308.85223142"	"9424.59091455"	"96903.6437834"	"186135.670562"	"0"
"266"	"265"	"41.12"	"122.95"	"89.0025636344"	"314.883034998"	"332.478788535"	"3418.54690371"	"6566.45607356"	"0"
"267"	"266"	"25.32"	"83.01"	"77.2279435831"	"262.027004302"	"4257.35213897"	"43774.0946929"	"84082.7047447"	"0"
"268"	"267"	"26.58"	"106.72"	"83.257880833"	"237.625518179"	"2247.37305566"	"23107.4897583"	"44385.6178493"	"0"
"269"	"268"	"40.39"	"49.86"	"71.1598901982"	"297.613502061"	"6280.03660061"	"64571.3363275"	"124030.722862"	"0"
"270"	"269"	"31.58"	"120.3"	"87.1016129345"	"212.466261142"	"966.129021825"	"9933.7386024"	"19081.048181"	"0"
"271"	"270"	"50.08"	"14.43"	"65.8369516763"	"321.171873633"	"8054.34944123"	"82814.8209548"	"159073.401464"	"0"
"272"	"271"	"-4.25"	"15.26"	"53.7929130615"	"279.866192519"	"12069.0289795"	"124093.755967"	"238363.322345"	"0"
"273"	"272"	"3.15"	"101.53"	"75.9505372778"	"217.667512875"	"4683.15424075"	"48152.1919033"	"92492.2962547"	"0"
"274"	"273"	"21.12"	"-101.69"	"54.8919862757"	"45.4215769321"	"11702.6712414"	"120326.865704"	"231127.757018"	"0"
"275"	"274"	"34.39"	"132.44"	"87.6352223076"	"128.960795137"	"788.259230798"	"8104.88141107"	"15568.1198083"	"0"
"276"	"275"	"31.64"	"74.87"	"76.1150718407"	"275.975728008"	"4628.30938642"	"47588.2771112"	"91409.1103818"	"0"
"277"	"276"	"32.63"	"116.98"	"86.8064786712"	"230.636659026"	"1064.50710961"	"10945.262101"	"21024.0154148"	"0"
"278"	"277"	"10.96"	"-74.8"	"47.8171369837"	"25.3847196627"	"14060.9543388"	"144574.732511"	"277703.84819"	"0"
"279"	"278"	"6.31"	"-10.8"	"50.161105338"	"308.313498847"	"13279.631554"	"136541.171638"	"262272.723192"	"0"
"280"	"279"	"31.95"	"35.93"	"66.5118316561"	"295.758812936"	"7829.38944798"	"80501.7823042"	"154630.441598"	"0"
"281"	"280"	"41.72"	"44.79"	"70.2099719271"	"301.009192406"	"6596.6760243"	"67827.0228818"	"130284.35148"	"0"
"282"	"281"	"9.06"	"7.49"	"54.8690745962"	"295.612904334"	"11710.3084679"	"120405.391667"	"231278.592242"	"0"
"283"	"282"	"19.89"	"75.32"	"74.2544084616"	"261.141291382"	"5248.53051281"	"53965.3907328"	"103658.477628"	"0"
"284"	"283"	"42.69"	"23.31"	"65.8811911037"	"311.11427188"	"8039.60296542"	"82663.1976904"	"158782.158567"	"0"
"285"	"284"	"55"	"73.4"	"77.3243838453"	"312.456928448"	"4225.20538491"	"43443.5617676"	"83447.806352"	"0"
"286"	"285"	"25.67"	"-100.32"	"55.8810958578"	"41.639552101"	"11372.9680474"	"116936.857464"	"224616.118936"	"0"
"287"	"286"	"-33.96"	"25.59"	"50.7197691567"	"247.29490953"	"13093.4102811"	"134626.44451"	"258594.853052"	"0"
"288"	"287"	"19.11"	"73.06"	"73.5244631594"	"261.943509943"	"5491.84561352"	"56467.1565983"	"108463.950867"	"0"
"289"	"288"	"-25.95"	"32.57"	"53.8620032477"	"251.046223149"	"12045.9989174"	"123856.960869"	"237908.47862"	"0"
"290"	"289"	"25.45"	"81.84"	"76.9500438938"	"263.088133917"	"4349.98536873"	"44726.5495613"	"85912.2110325"	"0"
"291"	"290"	"53.2"	"50.15"	"72.7588630731"	"312.309179821"	"5747.04564231"	"59091.1232942"	"113504.151436"	"0"
"292"	"291"	"44.83"	"20.5"	"65.7828041051"	"314.191722776"	"8072.39863162"	"83000.4027303"	"159429.872975"	"0"
"293"	"292"	"-22.91"	"-47.08"	"35.7076221394"	"337.223476176"	"18097.4592869"	"186078.076387"	"357424.820915"	"1"
"294"	"293"	"17.67"	"75.89"	"73.9625372"	"258.284882604"	"5345.82093333"	"54965.7308365"	"105579.963433"	"0"
"295"	"294"	"55.75"	"49.13"	"72.8013869425"	"315.644901808"	"5732.87101917"	"58945.3798191"	"113224.202629"	"0"
"296"	"295"	"36.18"	"44.01"	"69.1516682519"	"295.764237023"	"6949.44391604"	"71454.1823447"	"137251.517342"	"0"
"297"	"296"	"10.05"	"-69.3"	"46.9863546642"	"19.2076820068"	"14337.8817786"	"147422.100448"	"283173.165127"	"0"
"298"	"297"	"55.67"	"12.58"	"66.7658272641"	"326.431440305"	"7744.72424531"	"79631.2546903"	"152958.303845"	"0"
"299"	"298"	"34.37"	"108.7"	"85.1869284074"	"256.40002381"	"1604.35719755"	"16496.0007052"	"31686.0546515"	"0"
"300"	"299"	"38.87"	"115.48"	"87.3335745968"	"271.999451224"	"888.80846772"	"9138.7286651"	"17553.9672375"	"0"
"301"	"300"	"14.63"	"-90.55"	"51.1319445592"	"39.817395715"	"12956.0184803"	"133213.782014"	"255881.364986"	"0"
"302"	"301"	"-9.65"	"-35.75"	"41.2033928292"	"325.727559154"	"16265.5357236"	"167242.23831"	"321244.330541"	"1"
"303"	"302"	"-22.74"	"-43.47"	"36.1947692807"	"327.502293796"	"17935.0769064"	"184408.460752"	"354217.768902"	"1"
"304"	"303"	"25.05"	"102.7"	"82.0196618162"	"241.063438159"	"2660.11272795"	"27351.2790688"	"52537.226377"	"0"
"305"	"304"	"24.15"	"120.68"	"84.82869965"	"197.603335189"	"1723.76678332"	"17723.7700661"	"34044.3939706"	"0"
"306"	"305"	"11.85"	"13.16"	"56.8521580665"	"293.689591025"	"11049.2806445"	"113608.703587"	"218223.292729"	"0"
"307"	"306"	"40.08"	"113.3"	"86.7791436917"	"280.112677561"	"1073.61876944"	"11038.9481874"	"21203.9706965"	"0"
"308"	"307"	"53.33"	"-6.25"	"63.7246244361"	"333.102736672"	"8758.4585213"	"90054.470516"	"172979.555796"	"0"
"309"	"308"	"23.17"	"79.94"	"76.055102905"	"261.547568915"	"4648.29903166"	"47793.8106435"	"91803.9058753"	"0"
"310"	"309"	"17.73"	"83.3"	"75.8312125544"	"252.228457456"	"4722.92914855"	"48561.1575054"	"93277.8506838"	"0"
"311"	"310"	"47.24"	"39.71"	"69.9580980529"	"308.604901148"	"6680.63398236"	"68690.2786066"	"131942.521152"	"0"
"312"	"311"	"48.45"	"34.98"	"69.2076118167"	"311.508993785"	"6930.7960611"	"71262.4451003"	"136883.222207"	"0"
"313"	"312"	"30.11"	"31.25"	"65.0667728349"	"296.634252836"	"8311.0757217"	"85454.4805705"	"164143.745504"	"0"
"314"	"313"	"34.09"	"74.79"	"76.4216546523"	"279.428090317"	"4526.1151159"	"46537.5156217"	"89390.7735391"	"0"
"315"	"314"	"41.33"	"123.75"	"89.0809198525"	"326.735187701"	"306.36004915"	"3149.99402536"	"6050.61097072"	"0"
"316"	"315"	"50.83"	"4.33"	"64.4627431464"	"326.349407858"	"8512.41895121"	"87524.6916563"	"168120.274286"	"0"
"317"	"316"	"24.48"	"39.59"	"65.9656170746"	"287.341832187"	"8011.46097514"	"82373.8417464"	"158226.354259"	"0"
"318"	"317"	"-34.93"	"138.6"	"65.007849406"	"169.125287587"	"8330.71686468"	"85656.4308026"	"164531.658077"	"0"
"319"	"318"	"20.72"	"-103.4"	"55.1050588135"	"46.9922324124"	"11631.6470622"	"119596.595093"	"229725.029478"	"0"
"320"	"319"	"55.15"	"61.43"	"75.0446133667"	"313.07005858"	"4985.12887777"	"51257.0951213"	"98456.295336"	"0"
"321"	"320"	"22.58"	"88.33"	"78.066193826"	"253.745630302"	"3977.93539134"	"40901.1316937"	"78564.2239789"	"0"
"322"	"321"	"51.05"	"-114.06"	"64.6971841425"	"34.0864430012"	"8434.27195249"	"86721.1842155"	"166576.871062"	"0"
"323"	"322"	"38.26"	"140.89"	"86.0548688801"	"89.0299093769"	"1315.04370665"	"13521.2793918"	"25972.1132063"	"0"
"324"	"323"	"14.09"	"-87.22"	"50.4398599859"	"36.9649631681"	"13186.713338"	"135585.786542"	"260437.588426"	"0"
"325"	"324"	"23.36"	"85.33"	"77.4633706497"	"257.479946807"	"4178.8764501"	"42967.20766"	"82532.8098896"	"0"
"326"	"325"	"37.44"	"127.15"	"89.3532913793"	"145.357471823"	"215.569540241"	"2216.48601276"	"4257.49841976"	"0"
"327"	"326"	"8.49"	"4.55"	"54.0521290627"	"297.349127006"	"11982.6236458"	"123205.336326"	"236656.817004"	"0"
"328"	"327"	"34.05"	"-5"	"58.6869243102"	"321.023741822"	"10437.6918966"	"107320.348081"	"206144.414958"	"0"
"329"	"328"	"54.78"	"56.04"	"74.0060673979"	"313.232890505"	"5331.31086738"	"54816.5383384"	"105293.389631"	"0"
"330"	"329"	"3.04"	"101.45"	"75.9055860323"	"217.694285581"	"4698.13798923"	"48306.2548053"	"92788.2252873"	"0"
"331"	"330"	"30.75"	"76.78"	"76.4816221878"	"273.690490959"	"4506.12593738"	"46331.9868882"	"88995.9872633"	"0"
"332"	"331"	"31.28"	"48.72"	"69.4572073441"	"288.739184314"	"6847.59755197"	"70406.9980293"	"135240.051651"	"0"
"333"	"332"	"11.01"	"76.96"	"72.8187237559"	"250.680688562"	"5727.09208138"	"58885.9607808"	"113110.068607"	"0"
"334"	"333"	"50.95"	"6.97"	"64.8763625261"	"325.196762863"	"8374.54582463"	"86107.0801688"	"165397.280036"	"0"
"335"	"334"	"34.65"	"50.95"	"70.553284747"	"291.067627024"	"6482.23841766"	"66650.3754104"	"128024.208749"	"0"
"336"	"335"	"46.47"	"30.73"	"68.0469388818"	"311.225212936"	"7317.68703939"	"75240.458139"	"144524.319028"	"0"
"337"	"336"	"48"	"37.82"	"69.6942770212"	"310.047147581"	"6768.57432628"	"69594.4812228"	"133679.342944"	"0"
"338"	"337"	"26.29"	"73.02"	"74.8124876139"	"270.168305966"	"5062.5041287"	"52052.6674513"	"99984.4565418"	"0"
"339"	"338"	"-2.5"	"-44.3"	"42.5139558487"	"343.604489252"	"15828.6813838"	"162750.501988"	"312616.457329"	"1"
"340"	"339"	"-22.84"	"-43.07"	"36.2217094686"	"326.340226275"	"17926.0968438"	"184316.127748"	"354040.412665"	"1"
"341"	"340"	"33.88"	"130.86"	"87.801495149"	"140.0033574"	"732.834950317"	"7535.00895916"	"14473.4902688"	"0"
"342"	"341"	"33.95"	"116.75"	"87.0482215742"	"237.642620439"	"983.926141921"	"10116.7285912"	"19432.5413029"	"0"
"343"	"342"	"58"	"56.25"	"74.223675629"	"317.505026118"	"5258.77479033"	"54070.7223942"	"103860.802109"	"0"
"344"	"343"	"31.78"	"119.97"	"87.1118743844"	"214.743562399"	"962.708538529"	"9898.56919315"	"19013.4936359"	"0"
"345"	"344"	"12.31"	"76.65"	"73.028552724"	"252.191831979"	"5657.14909198"	"58166.8069638"	"111728.694567"	"0"
"346"	"345"	"26.19"	"91.75"	"79.6049463977"	"255.934932697"	"3465.01786743"	"35627.3137129"	"68434.1028817"	"0"
"347"	"346"	"48.71"	"44.48"	"71.1305003452"	"308.594182372"	"6289.83321827"	"64672.0651502"	"124224.206061"	"0"
"348"	"347"	"37.88"	"32.48"	"66.8457453279"	"302.672138581"	"7718.0848907"	"79357.3488462"	"152432.176591"	"0"
"349"	"348"	"40.85"	"14.27"	"63.7629070458"	"314.121681854"	"8745.6976514"	"89923.2632517"	"172727.528615"	"0"
"350"	"349"	"16.52"	"80.63"	"74.9161184742"	"253.196441464"	"5027.9605086"	"51697.4899494"	"99302.2200448"	"0"
"351"	"350"	"35.55"	"129.31"	"88.5021733829"	"139.975088531"	"499.275539026"	"5133.55109227"	"9860.69189577"	"0"
"352"	"351"	"37.3"	"-121.85"	"62.7856918399"	"48.0328003308"	"9071.43605336"	"93272.5055007"	"179160.862054"	"0"
"353"	"352"	"52.48"	"-1.91"	"64.0313936084"	"330.454303595"	"8656.20213054"	"89003.0703062"	"170959.992078"	"0"
"354"	"353"	"35.61"	"140.11"	"86.0304610867"	"102.296135902"	"1323.17963775"	"13604.9330354"	"26132.7978456"	"0"
"355"	"354"	"8.37"	"-62.62"	"45.9830938854"	"11.1817168094"	"14672.3020382"	"150860.609557"	"289777.965254"	"0"
"356"	"355"	"-10.7"	"25.66"	"55.1318042713"	"267.890381017"	"11622.7319096"	"119504.929494"	"229548.955214"	"0"
"357"	"356"	"-0.95"	"100.35"	"74.5576815701"	"216.410077897"	"5147.43947664"	"52925.9726988"	"101661.929664"	"0"
"358"	"357"	"12.15"	"-86.27"	"49.7240117208"	"37.1035755809"	"13425.3294264"	"138039.237162"	"265150.256172"	"0"
"359"	"358"	"-32.89"	"-68.83"	"34.3895171318"	"66.9249677224"	"18536.8276227"	"190595.661617"	"366102.345549"	"1"
"360"	"359"	"26.23"	"78.17"	"76.1360829031"	"266.73376325"	"4621.30569896"	"47516.2651967"	"91270.7875545"	"0"
"361"	"360"	"42.87"	"74.57"	"77.2394343342"	"292.714482743"	"4253.52188858"	"43734.7120584"	"84007.0572995"	"0"
"362"	"361"	"27.71"	"85.31"	"78.2241911678"	"263.720669928"	"3925.26961073"	"40359.6221375"	"77524.0748119"	"0"
"363"	"362"	"-16.5"	"-68.17"	"38.5011366648"	"32.2693597826"	"17166.2877784"	"176503.770937"	"339034.183623"	"1"
"364"	"363"	"13.52"	"2.12"	"54.7303253964"	"302.76115119"	"11756.5582012"	"120880.931425"	"232192.024473"	"0"
"365"	"364"	"-1.94"	"30.06"	"58.0926866053"	"272.087994084"	"10635.7711316"	"109356.998775"	"210056.479848"	"0"
"366"	"365"	"47.35"	"124"	"87.196274497"	"351.805376888"	"934.575167663"	"9609.30187391"	"18457.8595613"	"0"
"367"	"366"	"47.93"	"106.91"	"84.581251265"	"309.286267544"	"1806.24957833"	"18571.8581644"	"35673.429172"	"0"
"368"	"367"	"56.02"	"93.06"	"80.8515436921"	"319.034483069"	"3049.48543598"	"31354.8092528"	"60227.3373607"	"0"
"369"	"368"	"9.92"	"78.12"	"72.8562236654"	"248.668337189"	"5714.59211152"	"58757.4360907"	"112863.194203"	"0"
"370"	"369"	"53.57"	"-113.54"	"65.2296502135"	"32.0414283774"	"8256.78326215"	"84896.2455014"	"163071.469427"	"0"
"371"	"370"	"37.95"	"58.38"	"72.8300633845"	"291.49162292"	"5723.31220518"	"58847.0960937"	"113035.416052"	"0"
"372"	"371"	"15.64"	"32.52"	"62.421295482"	"284.222974089"	"9192.90150601"	"94521.4132848"	"181559.804744"	"0"
"373"	"372"	"-16.39"	"-71.53"	"39.0383463049"	"38.5515889264"	"16987.2178984"	"174662.574431"	"335497.553493"	"1"
"374"	"373"	"31.63"	"-8"	"57.5424043565"	"321.686934936"	"10819.1985478"	"111242.999469"	"213679.17132"	"0"
"375"	"374"	"-5.44"	"105.27"	"73.8699028269"	"207.799043476"	"5376.6990577"	"55283.2197113"	"106189.80639"	"0"
"376"	"375"	"33.73"	"113.3"	"86.2178074488"	"245.905810682"	"1260.73085041"	"12962.834604"	"24899.4342957"	"0"
"377"	"376"	"10.4"	"-75.5"	"47.7210566414"	"26.4296762376"	"14092.9811195"	"144904.031871"	"278336.377111"	"0"
"378"	"377"	"15.36"	"75.13"	"73.2984873694"	"256.45808023"	"5567.17087687"	"57241.650956"	"109951.624818"	"0"
"379"	"378"	"-16.5"	"-68.15"	"38.4983716788"	"32.2293616331"	"17167.2094404"	"176513.247466"	"339052.386448"	"1"
"380"	"379"	"28.02"	"120.65"	"86.059484755"	"202.597290309"	"1313.50508166"	"13505.4592496"	"25941.7253628"	"0"
"381"	"380"	"45.42"	"-75.71"	"58.8557868747"	"14.9143247167"	"10381.4043751"	"106741.599785"	"205032.736408"	"0"
"382"	"381"	"1.48"	"103.75"	"75.7889065372"	"213.60940977"	"4737.03115425"	"48706.154328"	"93556.3652965"	"0"
"383"	"382"	"-4.04"	"39.66"	"60.135749755"	"264.408494169"	"9954.75008166"	"102354.74034"	"196606.314113"	"0"
"384"	"383"	"-13.97"	"33.8"	"56.5594689047"	"260.254703208"	"11146.8436984"	"114611.846907"	"220150.163044"	"0"
"385"	"384"	"45.08"	"7.68"	"63.5896103187"	"320.633087868"	"8803.46322709"	"90517.208901"	"173868.398735"	"0"
"386"	"385"	"-22.77"	"-43.31"	"36.2082685044"	"327.050564192"	"17930.5771652"	"184362.194412"	"354128.899013"	"1"
"387"	"386"	"24.48"	"54.37"	"69.6897558355"	"279.148578246"	"6770.08138817"	"69609.9768332"	"133709.107416"	"0"
"388"	"387"	"31.33"	"75.57"	"76.2518993064"	"275.169880854"	"4582.70023119"	"47119.3237771"	"90508.3295659"	"0"
"389"	"388"	"5.52"	"5.76"	"53.6312023528"	"294.245875922"	"12122.9325491"	"124647.99247"	"239427.917844"	"0"
"390"	"389"	"39.48"	"-0.39"	"60.8732201712"	"321.397385747"	"9708.92660961"	"99827.1834"	"191751.30054"	"0"
"391"	"390"	"59.91"	"10.75"	"67.4354314227"	"330.575894401"	"7521.52285911"	"77336.2980373"	"148550.076467"	"0"
"392"	"391"	"36.2"	"117.12"	"87.5287774011"	"250.125559226"	"823.740866316"	"8469.70358746"	"16268.8821097"	"0"
"393"	"392"	"26.43"	"50.1"	"68.954456201"	"283.35783607"	"7015.18126634"	"72130.0937805"	"138549.83001"	"0"
"394"	"393"	"19.29"	"72.85"	"73.5053937145"	"262.288029061"	"5498.20209517"	"56532.5139425"	"108589.49138"	"0"
"395"	"394"	"11.67"	"78.16"	"73.2582342736"	"250.306912219"	"5580.58857548"	"57379.611733"	"110216.624366"	"0"
"396"	"395"	"-29.61"	"30.39"	"52.6416822425"	"248.988119525"	"12452.7725858"	"128039.407727"	"245942.25857"	"0"
"397"	"396"	"19.48"	"-99.23"	"53.9980381791"	"44.4704532763"	"12000.6539403"	"123390.723814"	"237012.915321"	"0"
"398"	"397"	"34.73"	"36.72"	"67.2117999956"	"297.831259716"	"7596.06666813"	"78102.7574818"	"150022.316696"	"0"
"399"	"398"	"20.27"	"85.84"	"76.9852117045"	"252.996059706"	"4338.26276516"	"44606.0177514"	"85680.6896119"	"0"
